,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
218,201611270PHO,Denver,DEN,120,Phoenix,PHO,114,Denver,DEN,Phoenix,PHO
219,201611280GSW,Atlanta,ATL,100,Golden State,GSW,105,Golden State,GSW,Atlanta,ATL
220,201611280MEM,Charlotte,CHO,104,Memphis,MEM,85,Charlotte,CHO,Memphis,MEM
221,201611280MIA,Boston,BOS,112,Miami,MIA,104,Boston,BOS,Miami,MIA
222,201611280MIN,Utah,UTA,112,Minnesota,MIN,103,Utah,UTA,Minnesota,MIN
223,201611280NYK,Oklahoma City,OKC,112,New York,NYK,103,Oklahoma City,OKC,New York,NYK
224,201611280TOR,Philadelphia,PHI,95,Toronto,TOR,122,Toronto,TOR,Philadelphia,PHI
225,201611290BRK,LA Clippers,LAC,122,Brooklyn,BRK,127,Brooklyn,BRK,LA Clippers,LAC
226,201611290CHO,Detroit,DET,112,Charlotte,CHO,89,Detroit,DET,Charlotte,CHO
227,201611290MIL,Cleveland,CLE,101,Milwaukee,MIL,118,Milwaukee,MIL,Cleveland,CLE
228,201611290NOP,LA Lakers,LAL,88,New Orleans,NOP,105,New Orleans,NOP,LA Lakers,LAL
229,201611290SAS,Orlando,ORL,95,San Antonio,SAS,83,Orlando,ORL,San Antonio,SAS
230,201611300BOS,Detroit,DET,121,Boston,BOS,114,Detroit,DET,Boston,BOS
231,201611300CHI,LA Lakers,LAL,96,Chicago,CHI,90,LA Lakers,LAL,Chicago,CHI
232,201611300DAL,San Antonio,SAS,94,Dallas,DAL,87,San Antonio,SAS,Dallas,DAL
233,201611300DEN,Miami,MIA,106,Denver,DEN,98,Miami,MIA,Denver,DEN
234,201611300MIN,New York,NYK,106,Minnesota,MIN,104,New York,NYK,Minnesota,MIN
235,201611300OKC,Washington,WAS,115,Oklahoma City,OKC,126,Oklahoma City,OKC,Washington,WAS
236,201611300PHO,Atlanta,ATL,107,Phoenix,PHO,109,Phoenix,PHO,Atlanta,ATL
237,201611300POR,Indiana,IND,109,Portland,POR,131,Portland,POR,Indiana,IND
238,201612010BRK,Milwaukee,MIL,111,Brooklyn,BRK,93,Milwaukee,MIL,Brooklyn,BRK
239,201612010CHO,Dallas,DAL,87,Charlotte,CHO,97,Charlotte,CHO,Dallas,DAL
240,201612010CLE,LA Clippers,LAC,113,Cleveland,CLE,94,LA Clippers,LAC,Cleveland,CLE
241,201612010GSW,Houston,HOU,132,Golden State,GSW,127,Houston,HOU,Golden State,GSW
242,201612010MEM,Orlando,ORL,94,Memphis,MEM,95,Memphis,MEM,Orlando,ORL
243,201612020ATL,Detroit,DET,121,Atlanta,ATL,85,Detroit,DET,Atlanta,ATL
244,201612020BOS,Sacramento,SAC,92,Boston,BOS,97,Boston,BOS,Sacramento,SAC
245,201612020CHI,Cleveland,CLE,105,Chicago,CHI,111,Chicago,CHI,Cleveland,CLE
246,201612020DEN,Houston,HOU,128,Denver,DEN,110,Houston,HOU,Denver,DEN
247,201612020NOP,LA Clippers,LAC,114,New Orleans,NOP,96,LA Clippers,LAC,New Orleans,NOP
248,201612020NYK,Minnesota,MIN,114,New York,NYK,118,New York,NYK,Minnesota,MIN
249,201612020PHI,Orlando,ORL,105,Philadelphia,PHI,88,Orlando,ORL,Philadelphia,PHI
250,201612020SAS,Washington,WAS,105,San Antonio,SAS,107,San Antonio,SAS,Washington,WAS
251,201612030CHO,Minnesota,MIN,125,Charlotte,CHO,120,Minnesota,MIN,Charlotte,CHO
252,201612030DAL,Chicago,CHI,82,Dallas,DAL,107,Dallas,DAL,Chicago,CHI
253,201612030GSW,Phoenix,PHO,109,Golden State,GSW,138,Golden State,GSW,Phoenix,PHO
254,201612030MEM,LA Lakers,LAL,100,Memphis,MEM,103,Memphis,MEM,LA Lakers,LAL
255,201612030MIL,Brooklyn,BRK,103,Milwaukee,MIL,112,Milwaukee,MIL,Brooklyn,BRK
256,201612030PHI,Boston,BOS,107,Philadelphia,PHI,106,Boston,BOS,Philadelphia,PHI
257,201612030POR,Miami,MIA,92,Portland,POR,99,Portland,POR,Miami,MIA
258,201612030TOR,Atlanta,ATL,84,Toronto,TOR,128,Toronto,TOR,Atlanta,ATL
259,201612040DET,Orlando,ORL,98,Detroit,DET,92,Orlando,ORL,Detroit,DET
260,201612040LAC,Indiana,IND,111,LA Clippers,LAC,102,Indiana,IND,LA Clippers,LAC
261,201612040NYK,Sacramento,SAC,98,New York,NYK,106,New York,NYK,Sacramento,SAC
262,201612050ATL,Oklahoma City,OKC,102,Atlanta,ATL,99,Oklahoma City,OKC,Atlanta,ATL
263,201612050BRK,Washington,WAS,118,Brooklyn,BRK,113,Washington,WAS,Brooklyn,BRK
264,201612050CHI,Portland,POR,112,Chicago,CHI,110,Portland,POR,Chicago,CHI
265,201612050DAL,Charlotte,CHO,109,Dallas,DAL,101,Charlotte,CHO,Dallas,DAL
266,201612050GSW,Indiana,IND,106,Golden State,GSW,142,Golden State,GSW,Indiana,IND
267,201612050HOU,Boston,BOS,106,Houston,HOU,107,Houston,HOU,Boston,BOS
268,201612050LAL,Utah,UTA,107,LA Lakers,LAL,101,Utah,UTA,LA Lakers,LAL
269,201612050MIL,San Antonio,SAS,97,Milwaukee,MIL,96,San Antonio,SAS,Milwaukee,MIL
270,201612050NOP,Memphis,MEM,110,New Orleans,NOP,108,Memphis,MEM,New Orleans,NOP
271,201612050PHI,Denver,DEN,106,Philadelphia,PHI,98,Denver,DEN,Philadelphia,PHI
