Date,Start (ET),Visitor,PTS-V,Home,PTS-H
Sun Dec 18 2016,6:00p,BRK,107,PHI,108
Sun Dec 18 2016,7:00p,NOP,100,SAS,113
Sun Dec 18 2016,3:30p,LAC,110,WAS,117
Mon Dec 19 2016,8:00p,DET,82,CHI,113
Mon Dec 19 2016,9:00p,DAL,107,DEN,117
Mon Dec 19 2016,7:00p,WAS,105,IND,107
Mon Dec 19 2016,8:00p,PHO,108,MIN,115
Mon Dec 19 2016,8:00p,ATL,110,OKC,108
Tue Dec 20 2016,7:00p,LAL,113,CHO,117
Tue Dec 20 2016,10:30p,UTA,74,GSW,104
Tue Dec 20 2016,8:00p,SAS,102,HOU,100
Tue Dec 20 2016,10:30p,DEN,102,LAC,119
Tue Dec 20 2016,8:00p,BOS,112,MEM,109
Tue Dec 20 2016,7:30p,ORL,136,MIA,130
Tue Dec 20 2016,8:00p,CHO,114,MIL,108
Tue Dec 20 2016,7:30p,IND,111,NYK,118
Tue Dec 20 2016,7:00p,NOP,108,PHI,93
Tue Dec 20 2016,10:30p,POR,121,SAC,126
Tue Dec 20 2016,7:30p,BRK,104,TOR,116
Wed Dec 21 2016,7:30p,MIN,92,ATL,84
Wed Dec 21 2016,8:00p,WAS,107,CHI,97
Wed Dec 21 2016,7:00p,MIL,102,CHO,113
Wed Dec 21 2016,7:30p,MEM,98,DET,86
Wed Dec 21 2016,8:00p,OKC,121,NOP,110
Wed Dec 21 2016,9:00p,HOU,125,PHO,111
Wed Dec 21 2016,10:00p,DAL,96,POR,95
Wed Dec 21 2016,9:00p,SAC,94,UTA,93
Thu Dec 22 2016,7:30p,GSW,117,BRK,101
Thu Dec 22 2016,7:00p,BOS,109,IND,102
Thu Dec 22 2016,10:30p,SAS,101,LAC,106
Thu Dec 22 2016,8:00p,LAL,107,MIA,115
Thu Dec 22 2016,7:30p,ORL,95,NYK,106
Fri Dec 23 2016,7:30p,OKC,117,BOS,112
Fri Dec 23 2016,7:00p,CHI,91,CHO,103
Fri Dec 23 2016,7:30p,BRK,99,CHO,119
Fri Dec 23 2016,9:00p,ATL,109,DEN,108
Fri Dec 23 2016,7:30p,GSW,119,DET,113
Fri Dec 23 2016,10:30p,DAL,90,LAC,88
Fri Dec 23 2016,8:00p,HOU,109,MEM,115
Fri Dec 23 2016,8:00p,WAS,96,MIL,123
Fri Dec 23 2016,8:00p,SAC,109,MIN,105
Fri Dec 23 2016,8:00p,MIA,87,NOP,91
Fri Dec 23 2016,7:00p,LAL,90,ORL,109
Fri Dec 23 2016,9:00p,PHI,116,PHO,123
Fri Dec 23 2016,10:00p,SAS,110,POR,90
Fri Dec 23 2016,9:00p,TOR,104,UTA,98
Sun Dec 25 2016,2:30p,GSW,108,CHO,109
Sun Dec 25 2016,10:30p,LAC,102,LAL,111
Sun Dec 25 2016,12:00p,BOS,119,NYK,114
Sun Dec 25 2016,8:00p,MIN,100,OKC,112
Sun Dec 25 2016,5:00p,CHI,100,SAS,119
Mon Dec 26 2016,7:30p,CHO,118,BRK,120
Mon Dec 26 2016,8:00p,IND,85,CHI,90
Mon Dec 26 2016,7:30p,CHO,90,DET,106
Mon Dec 26 2016,8:00p,PHO,115,HOU,131
Mon Dec 26 2016,10:30p,DEN,106,LAC,102
Mon Dec 26 2016,8:00p,ATL,90,MIN,104
Mon Dec 26 2016,8:00p,DAL,104,NOP,111
Mon Dec 26 2016,7:00p,MEM,102,ORL,112
Mon Dec 26 2016,10:00p,TOR,95,POR,91
Mon Dec 26 2016,10:30p,PHI,100,SAC,102
Mon Dec 26 2016,7:00p,MIL,102,WAS,107
Tue Dec 27 2016,7:30p,MEM,103,BOS,113
Tue Dec 27 2016,8:30p,HOU,123,DAL,107
