Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
PG,29,MEM,69,2292,23.2,0.604,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,,7.5,2.5,10,0.209,,6.5,-0.8,5.7,4.5
SG,24,POR,39,316,11.8,0.645,0.458,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13,,0.4,0.2,0.6,0.09,,-0.9,-1.6,-2.5,0
PG,23,TOT,14,188,11.8,0.579,0.394,0.076,0.6,3.6,2,22.8,1.1,0,16,19.6,,0.1,0.1,0.2,0.047,,-1.7,-4.2,-5.9,-0.2
PG,23,DAL,5,77,6.9,0.522,0.56,0.08,0,4.8,2.3,25.7,0.7,0,23.6,20.7,,-0.1,0,-0.1,-0.046,,-4.2,-4.5,-8.7,-0.1
PG,23,NOP,9,111,15.3,0.614,0.293,0.073,0.9,2.9,1.9,20.7,1.3,0,10.6,18.9,,0.2,0.1,0.3,0.11,,0,-4,-4,-0.1
C,26,TOT,72,2465,25.8,0.562,0.253,0.468,7,29.2,18.2,25.8,2,3.4,13.5,36.5,,3.9,3.8,7.6,0.149,,3.9,2.6,6.6,5.3
C,26,SAC,55,1891,26.5,0.562,0.239,0.491,7.1,28.3,17.8,27.4,2,3.6,13.2,37.5,,3.4,2.6,6,0.153,,4.5,2.6,7.1,4.3
C,26,NOP,17,574,23.2,0.564,0.306,0.385,6.8,32.2,19.4,20.6,2.1,2.7,14.4,33.1,,0.5,1.1,1.6,0.136,,2,2.8,4.8,1
SF,26,PHI,67,2119,13.2,0.534,0.563,0.238,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,,0,3.2,3.1,0.071,,-0.7,2,1.4,1.8
SG,24,POR,79,2254,11.6,0.602,0.467,0.192,0.9,10.2,5.6,6.1,1.2,0.7,8.1,14.9,,3.1,1,4.2,0.089,,0.3,-1.3,-1,0.6
SG,36,LAC,82,2157,12,0.525,0.37,0.233,0.9,5.7,3.3,15.2,1.4,0.5,12.3,22.7,,0.5,1.4,1.9,0.043,,-1,-2.1,-3,-0.6
SG,28,NOP,19,442,17.6,0.582,0.436,0.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,,0.6,0.3,0.9,0.102,,2.6,-3,-0.4,0.2
SF,26,BOS,72,2335,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.6,0.8,8.9,17,,4.1,2.5,6.7,0.137,,1.4,0.2,1.6,2.1
PF,29,NOP,66,1649,10.2,0.586,0.504,0.075,3.6,14.2,8.9,3.2,1.2,1.4,7,10.7,,1.4,1.6,3,0.088,,-1.3,0.8,-0.5,0.6
PG,26,DAL,70,2029,15.5,0.601,0.458,0.142,1.4,9.3,5.1,16,2,0.3,11,19.5,,2.9,1.7,4.6,0.11,,1.8,-0.4,1.4,1.7
PG,28,GSW,79,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,,8.7,3.9,12.6,0.229,,7.8,-0.4,7.3,6.2
SG,25,MEM,67,1183,10.4,0.531,0.717,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8,21.7,,0.5,0.8,1.3,0.051,,0.4,-3.5,-3.1,-0.3
C,23,NOP,75,2708,27.5,0.58,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,,5.9,5.1,11,0.195,,1.4,2.3,3.7,3.9
C,20,MEM,36,238,10.6,0.528,0,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,,0.1,0.4,0.5,0.097,,-5.4,1.8,-3.7,-0.1
PF,27,POR,46,789,11.5,0.563,0,0.57,13.4,20.9,17.1,4.6,0.9,2.2,17.2,12,,1,0.7,1.7,0.104,,-2.2,0.1,-2.1,0
C,27,SAS,76,1330,16,0.645,0,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,,2.3,3,5.2,0.189,,-1.6,3.2,1.7,1.2
PF,22,HOU,77,1419,13.1,0.549,0.436,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,,1.9,1.2,3.1,0.104,,-0.4,-0.6,-1,0.3
PG,27,ATL,73,1248,7.5,0.456,0.284,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,,-1.2,1.3,0.1,0.005,,-4.6,-1.3,-5.9,-1.2
PG,26,MIL,76,1986,9.4,0.501,0.403,0.18,1.4,7.1,4.3,25.7,1.4,0,18.8,16.3,,0.3,0.9,1.2,0.029,,-1.9,-2.8,-4.7,-1.4
SF,31,LAL,56,1486,10.1,0.47,0.389,0.149,4.5,17.7,10.8,7,1.6,1.1,8.7,14.2,,0.1,0.8,0.9,0.029,,-2.3,-0.2,-2.5,-0.2
SG,27,TOR,74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,,6.7,2.4,9,0.166,,2.4,-1.5,0.9,1.9
PF,20,NOP,17,199,16.8,0.51,0,0.276,12.1,26.7,19.4,3.2,1,2.9,7.6,20.5,,0.2,0.3,0.5,0.111,,-4.6,-1,-5.6,-0.2
PF,34,UTA,73,1283,9,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,,-0.1,1.2,1.1,0.041,,-2.7,-0.2,-2.9,-0.3
PF,27,MIN,82,2653,14.2,0.555,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14,,3.2,2.5,5.7,0.103,,-0.5,2.2,1.8,2.5
PG,23,BRK,59,1334,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,,1.9,0.9,2.8,0.101,,-0.7,-0.2,-0.9,0.4
PG,30,MEM,24,394,10.6,0.451,0.359,0.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4,,0,0.5,0.5,0.059,,-2.2,1,-1.2,0.1
PG,30,MIA,73,2459,19.8,0.575,0.257,0.335,2.8,9.9,6.3,29,1.8,0.4,14.1,27.1,,5,2.6,7.5,0.147,,3.4,-0.7,2.7,2.9
C,23,DET,81,2409,20.9,0.518,0.008,0.39,15.1,36.2,25.2,6,2.6,3.1,12.5,22.4,,1.4,5.3,6.7,0.133,,-2.1,2.9,0.9,1.8
PF,31,PHO,64,1362,10.6,0.579,0.587,0.188,2.4,15.9,9,12.5,1.5,0.9,16.3,13.8,,1.1,0.7,1.8,0.064,,-0.1,-0.1,-0.3,0.6
SF,36,TOT,53,841,10.1,0.573,0.609,0.205,2.4,12.4,7.5,8.6,0.9,0.7,10.5,14,,0.8,0.7,1.5,0.086,,-1,-1.2,-2.2,0
SF,36,CLE,23,366,7.6,0.539,0.633,0.211,1.6,12.3,7.1,7.5,0.8,0.4,12.5,13.7,,0.1,0.2,0.3,0.041,,-2.1,-1.7,-3.7,-0.2
SF,36,ATL,30,475,11.9,0.597,0.592,0.2,3.1,12.5,7.9,9.5,0.9,0.9,9,14.3,,0.7,0.5,1.2,0.12,,-0.2,-0.8,-1,0.1
PG,22,MIN,78,1333,8.1,0.432,0.233,0.188,2.1,12.6,7.3,19.4,3,2.3,20.8,14.2,,-1.2,1.3,0.1,0.004,,-3.7,1.5,-2.2,-0.1
PF,28,GSW,62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,,8,4,12,0.278,,5.4,2.6,8,5.2
