,Unnamed: 0,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
275,12035,21601142,2017-04-02,CHA @ OKC,OKC,t,L,43.0,33.0,0.5660000000000001,240,39.0,84.0,0.464,12.0,31.0,0.387,11.0,12.0,1.0,7.0,35.0,42,19.0,10.0,5.0,24.0,20.0,101,CHO,2016,Regular Season,2016-17
276,12036,21601028,2017-03-18,SAC @ OKC,OKC,t,W,40.0,29.0,0.58,240,41.0,82.0,0.5,10.0,26.0,0.385,18.0,25.0,1.0,13.0,36.0,49,23.0,7.0,4.0,14.0,21.0,110,SAC,2016,Regular Season,2016-17
277,12040,21600861,2017-02-24,LAL @ OKC,OKC,t,W,33.0,25.0,0.569,240,44.0,97.0,0.454,10.0,24.0,0.417,12.0,17.0,1.0,14.0,45.0,59,28.0,9.0,6.0,17.0,14.0,110,LAL,2016,Regular Season,2016-17
279,12042,21600813,2017-02-11,GSW @ OKC,OKC,t,L,31.0,24.0,0.564,240,40.0,83.0,0.482,6.0,24.0,0.25,28.0,36.0,1.0,12.0,31.0,43,20.0,7.0,8.0,19.0,23.0,114,GSW,2016,Regular Season,2016-17
280,12043,21600796,2017-02-09,CLE @ OKC,OKC,t,W,31.0,23.0,0.574,240,50.0,106.0,0.472,8.0,27.0,0.29600000000000004,10.0,13.0,1.0,17.0,34.0,51,24.0,10.0,5.0,13.0,23.0,118,CLE,2016,Regular Season,2016-17
281,12044,21600740,2017-02-01,CHI @ OKC,OKC,t,L,28.0,22.0,0.56,240,38.0,100.0,0.38,10.0,37.0,0.27,14.0,17.0,1.0,11.0,26.0,37,17.0,6.0,4.0,9.0,23.0,100,CHI,2016,Regular Season,2016-17
282,12045,21600690,2017-01-26,DAL @ OKC,OKC,t,W,28.0,19.0,0.596,240,37.0,72.0,0.514,9.0,22.0,0.409,26.0,36.0,1.0,7.0,36.0,43,13.0,7.0,2.0,16.0,17.0,109,DAL,2016,Regular Season,2016-17
283,12046,21600555,2017-01-07,DEN @ OKC,OKC,t,W,22.0,16.0,0.579,240,43.0,89.0,0.483,12.0,36.0,0.333,23.0,29.0,1.0,6.0,43.0,49,23.0,8.0,11.0,10.0,20.0,121,DEN,2016,Regular Season,2016-17
285,12048,21600164,2016-11-16,HOU @ OKC,OKC,t,W,7.0,5.0,0.583,240,40.0,84.0,0.476,12.0,25.0,0.48,13.0,14.0,1.0,5.0,39.0,44,25.0,7.0,7.0,16.0,15.0,105,HOU,2016,Regular Season,2016-17
288,12052,21600040,,LAL @ OKC,OKC,t,W,3.0,0.0,1.0,240,45.0,95.0,0.474,9.0,26.0,0.34600000000000003,14.0,17.0,1.0,10.0,35.0,45,29.0,15.0,6.0,19.0,22.0,113,LAL,2016,Regular Season,2016-17
